id,nome,artistas,album,release_date,duracao_ms,popularity,explicit,url
4S19lGrWWK5THBmb5dAjL1,Metal Is The Law,Massacration,Gates Of Metal Fried Chicken Of Death,2005-10-10,225746,36,False,https://open.spotify.com/track/4S19lGrWWK5THBmb5dAjL1
5o9ix2w4sFfrioXlv0qQ8N,Pagan III,Vitalism,Pagan III,2021-04-23,224000,0,False,https://open.spotify.com/track/5o9ix2w4sFfrioXlv0qQ8N
6AhwAWzSlISc5ZvGonkgdN,Playing God,Polyphia,Remember That You Will Die,2022-10-28,205925,0,False,https://open.spotify.com/track/6AhwAWzSlISc5ZvGonkgdN
7xyvWSVkxaoLdSuEdgdhBe,Ego Death (feat. Steve Vai),"Polyphia, Steve Vai",Remember That You Will Die,2022-10-28,350085,0,False,https://open.spotify.com/track/7xyvWSVkxaoLdSuEdgdhBe
0YPuRrM2NwzdtuShUKkts6,G.O.A.T.,Polyphia,New Levels New Devils,2018-10-12,215998,51,False,https://open.spotify.com/track/0YPuRrM2NwzdtuShUKkts6
0O26gtfjuscAOnQobjNPPL,To the Hellfire,Lorna Shore,To the Hellfire,2021-06-11,369786,57,True,https://open.spotify.com/track/0O26gtfjuscAOnQobjNPPL
227jOVNY1MrE5MkUcQRhsk,Pain Remains I: Dancing Like Flames,Lorna Shore,Pain Remains,2022-10-14,352560,56,False,https://open.spotify.com/track/227jOVNY1MrE5MkUcQRhsk
7IpJQhwrB4OYTYwOCiOxIs,"Pain Remains II: After All I've Done, I'll Disappear",Lorna Shore,Pain Remains,2022-10-14,336813,52,True,https://open.spotify.com/track/7IpJQhwrB4OYTYwOCiOxIs
6wgKN7mUq1CvQBnQKzjeKt,Pain Remains III: In a Sea of Fire,Lorna Shore,Pain Remains,2022-10-14,552613,51,True,https://open.spotify.com/track/6wgKN7mUq1CvQBnQKzjeKt
60fUDmIWuKhngaeBIVhqIV,Stranded,Gojira,Magma,2016-06-17,269533,63,False,https://open.spotify.com/track/60fUDmIWuKhngaeBIVhqIV
5uunXHE4kIW6uS4HWAXaOQ,Silvera,Gojira,Magma,2016-06-17,212653,58,False,https://open.spotify.com/track/5uunXHE4kIW6uS4HWAXaOQ
5EEMizxBSufXnb4Lbr5w1i,Morning Star,ANGRA,Temple of Shadows,2004-11-15,461466,0,False,https://open.spotify.com/track/5EEMizxBSufXnb4Lbr5w1i
7MEHTWzEi3z7P2jEWAcdHZ,Eyeless,Slipknot,Slipknot (10th Anniversary Edition),2009-09-09,236360,60,True,https://open.spotify.com/track/7MEHTWzEi3z7P2jEWAcdHZ
1DUyJ8wPj4hsgnr3H5xfJ9,Chrysalism,Kryour,Chrysalism,2023-08-04,208571,13,False,https://open.spotify.com/track/1DUyJ8wPj4hsgnr3H5xfJ9
1P5v2K9wmZuWe1a5AhTkeG,Ride Into The Storm,ANGRA,Ride Into The Storm,2023-08-04,372221,14,False,https://open.spotify.com/track/1P5v2K9wmZuWe1a5AhTkeG
2o4AknH1hXnleCRW2rH45w,Blackbird,Alter Bridge,Blackbird,2007-01-01,478133,51,False,https://open.spotify.com/track/2o4AknH1hXnleCRW2rH45w
5aVKIdM550lRzk7rFbPcF7,Chimera (feat. Lil West),"Polyphia, Lil West",Remember That You Will Die,2022-10-28,236653,0,True,https://open.spotify.com/track/5aVKIdM550lRzk7rFbPcF7
71N78jUmfhLeRDlLd8elfl,Genesis (feat. Brasstracks),"Polyphia, Brasstracks",Remember That You Will Die,2022-10-28,194631,0,False,https://open.spotify.com/track/71N78jUmfhLeRDlLd8elfl
2y0w6lpY8SGTuY8LglChi6,The Audacity (feat. Anomalie),"Polyphia, Anomalie",Remember That You Will Die,2022-10-28,144044,0,False,https://open.spotify.com/track/2y0w6lpY8SGTuY8LglChi6
1W5zSvAeIXlw6odInPE4m5,Reverie,Polyphia,Remember That You Will Die,2022-10-28,242693,0,False,https://open.spotify.com/track/1W5zSvAeIXlw6odInPE4m5
4c8TMfsKJIrRgCWs8LCEbQ,ABC (feat. Sophia Black),"Polyphia, Sophia Black",Remember That You Will Die,2022-10-28,152361,0,True,https://open.spotify.com/track/4c8TMfsKJIrRgCWs8LCEbQ
7lftB3f1vir7xBnYzEnaUr,Memento Mori (feat. Killstation),"Polyphia, Killstation",Remember That You Will Die,2022-10-28,164131,0,False,https://open.spotify.com/track/7lftB3f1vir7xBnYzEnaUr
4iUNFztAZqeaKvxvJQ8J2V,Fuck Around and Find Out (feat. $NOT),"Polyphia, $NOT",Remember That You Will Die,2022-10-28,151318,0,True,https://open.spotify.com/track/4iUNFztAZqeaKvxvJQ8J2V
4iDH45ZVIdHzDhLYd1FyKF,All Falls Apart,Polyphia,Remember That You Will Die,2022-10-28,79688,0,False,https://open.spotify.com/track/4iDH45ZVIdHzDhLYd1FyKF
0uzwUl56ZPCJtRlqhG5OFo,Neurotica,Polyphia,Remember That You Will Die,2022-10-28,194590,0,False,https://open.spotify.com/track/0uzwUl56ZPCJtRlqhG5OFo
2IMHE3XJcsqTIbSGOIY6Jy,Bloodbath (feat. Chino Moreno),"Polyphia, Chino Moreno",Remember That You Will Die,2022-10-28,230950,0,True,https://open.spotify.com/track/2IMHE3XJcsqTIbSGOIY6Jy
7ln7o4q6y9h8qEc6hGrtr1,Tears Don't Fall,Bullet For My Valentine,The Poison,2005,348386,54,True,https://open.spotify.com/track/7ln7o4q6y9h8qEc6hGrtr1
1LDknfsGl74Rg1smTpkvNy,Intro (feat. Apocalyptica),"Bullet For My Valentine, Apocalyptica",The Poison,2005,141453,30,False,https://open.spotify.com/track/1LDknfsGl74Rg1smTpkvNy
2LKrXLPnsC4rhf9OPYw4XF,Her Voice Resides,Bullet For My Valentine,The Poison,2005,258279,36,False,https://open.spotify.com/track/2LKrXLPnsC4rhf9OPYw4XF
6wxLzoQOePEa1hZjVJsIh8,4 Words (To Choke Upon),Bullet For My Valentine,The Poison,2005,223760,48,False,https://open.spotify.com/track/6wxLzoQOePEa1hZjVJsIh8
6XimI1O15wpfwUdrCnlrxo,All These Things I Hate (Revolve Around Me),Bullet For My Valentine,The Poison,2005,225440,56,False,https://open.spotify.com/track/6XimI1O15wpfwUdrCnlrxo
1z3LsJRCvln5qO5TOLduQM,Hand Of Blood,Bullet For My Valentine,The Poison,2005,216133,57,False,https://open.spotify.com/track/1z3LsJRCvln5qO5TOLduQM
00zkP499TJg8JboiVE10Rg,Odisseia,LVCAS,Odisseia,2023-09-12,238023,32,False,https://open.spotify.com/track/00zkP499TJg8JboiVE10Rg
1Uifdytv882RtTn6Gr4xAA,Chokehold,Sleep Token,Take Me Back To Eden,2023-05-19,304023,65,False,https://open.spotify.com/track/1Uifdytv882RtTn6Gr4xAA
0S38Oso3I9vpDXcTb7kYt9,The Summoning,Sleep Token,Take Me Back To Eden,2023-05-19,395716,69,False,https://open.spotify.com/track/0S38Oso3I9vpDXcTb7kYt9
5vJIVr0ZYo8DFbfSOY4Goa,Vore,Sleep Token,Take Me Back To Eden,2023-05-19,339606,59,False,https://open.spotify.com/track/5vJIVr0ZYo8DFbfSOY4Goa
2Z1eWq9VOXkCzUmcU6uoNe,Ascensionism,Sleep Token,Take Me Back To Eden,2023-05-19,428713,64,False,https://open.spotify.com/track/2Z1eWq9VOXkCzUmcU6uoNe
0GXwlEXCO8qeeeOIYpsR3m,Rain,Sleep Token,Take Me Back To Eden,2023-05-19,252158,68,False,https://open.spotify.com/track/0GXwlEXCO8qeeeOIYpsR3m
2Gt7fjNlx901pPRkvBiNBZ,Take Me Back To Eden,Sleep Token,Take Me Back To Eden,2023-05-19,500116,69,False,https://open.spotify.com/track/2Gt7fjNlx901pPRkvBiNBZ
2CCmVIcqK575y6GQhN6KYi,Tide Of Changes - Part II,"ANGRA, Vanessa Moreno",Tide Of Changes - Part II,2023-09-15,337651,10,False,https://open.spotify.com/track/2CCmVIcqK575y6GQhN6KYi
6gpGuilhRqdP4duCYXmvMW,Aviator,"Polyphia, Jason Richardson",Muse,2014-09-02,255975,39,False,https://open.spotify.com/track/6gpGuilhRqdP4duCYXmvMW
6MYzjR2rH0hfz91FsaR1ox,So Strange (feat. Cuco),"Polyphia, Cuco",New Levels New Devils,2018-10-12,240005,46,False,https://open.spotify.com/track/6MYzjR2rH0hfz91FsaR1ox
1joC1zThVy8sgBrHGoHe6M,Calling In Silence,"Chelsea Grin, Nate Johnson",My Damnation,2011-07-19,301053,23,False,https://open.spotify.com/track/1joC1zThVy8sgBrHGoHe6M
6pbaTgcj9kCmw9aPg2qONs,Hostage,Chelsea Grin,Eternal Nightmare,2018-07-13,196002,0,True,https://open.spotify.com/track/6pbaTgcj9kCmw9aPg2qONs
5SnK7pnWLXNiEbs3z1ISBG,Sing to the Grave,Chelsea Grin,Suffer in Heaven,2023-03-17,159417,43,False,https://open.spotify.com/track/5SnK7pnWLXNiEbs3z1ISBG
1A2MvoVOlxlPlPKJGrKjGY,Recreant,Chelsea Grin,Desolation Of Eden,2010-02-16,266826,45,True,https://open.spotify.com/track/1A2MvoVOlxlPlPKJGrKjGY
4pp9Yhne1AavWHck7OzGFD,"Don't Ask, Don't Tell",Chelsea Grin,Evolve,2012-06-19,321746,42,False,https://open.spotify.com/track/4pp9Yhne1AavWHck7OzGFD
2hZrfZkSYQGAyiwtPQ6U1p,Fathomless Maw,Chelsea Grin,Suffer in Heaven,2023-03-17,205058,34,False,https://open.spotify.com/track/2hZrfZkSYQGAyiwtPQ6U1p
