id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key
0uYVJ8z5kgMayMNPJA6Cz9;Running Up That Hill;Placebo;Covers;2003-03-24;297320;63;False;https://open.spotify.com/track/0uYVJ8z5kgMayMNPJA6Cz9;guitar_stems/Placebo_-_Running_Up_That_Hill_(A_Deal_With_God)_(Cover)_Official_Audio.wav;90.0;C minor
5YaLFRpqpUzgLLDcukNn0H;Lithium;Evanescence;The Open Door;2006-01-01;224106;66;False;https://open.spotify.com/track/5YaLFRpqpUzgLLDcukNn0H;guitar_stems/Evanescence_-_Lithium.wav;61.0;Bb major
1klDPm7SfsS32hl7KHV9iy;Stuck In A Moment You Can't Get Out Of;U2;All That You Can't Leave Behind;2000-01-01;273466;64;False;https://open.spotify.com/track/1klDPm7SfsS32hl7KHV9iy;guitar_stems/U2_-_Stuck_In_A_Moment_You_Can't_Get_Out_Of_(Official_Music_Video).wav;80.0;E major
0vTKR5TQD03kASmEGlyDF3;In These Arms;Bon Jovi;Keep The Faith;1992-11-03;319226;63;False;https://open.spotify.com/track/0vTKR5TQD03kASmEGlyDF3;guitar_stems/Bon_Jovi_-_In_These_Arms.wav;62.0;E major
6L89mwZXSOwYl76YXfX13s;Basket Case;Green Day;Dookie;1994-02-01;181533;81;False;https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s;guitar_stems/Green_Day_-_Basket_Case_[Official_Music_Video]_(4K_Upgrade).wav;88.0;Eb major
3RlsVPIIs5KFhLFhxZ4iDF;Rockstar;Nickelback;All the Right Reasons (Walmart Exclusive Edition);2005-09-26;252040;66;False;https://open.spotify.com/track/3RlsVPIIs5KFhLFhxZ4iDF;guitar_stems/Nickelback_-_Rockstar_[OFFICIAL_VIDEO].wav;72.0;C major
0zyflDbCyPqW9dG4Ivd8Td;Under The Same Sun;Scorpions;Deadly Sting: The Mercury Years;1997-07-15;293040;24;False;https://open.spotify.com/track/0zyflDbCyPqW9dG4Ivd8Td;guitar_stems/Scorpions_-_Under_The_Same_Sun.wav;75.0;D major
7q6CybWAg3uYLgS5tDWqmd;Imaginary;Evanescence;Fallen;2003-03-04;256493;57;False;https://open.spotify.com/track/7q6CybWAg3uYLgS5tDWqmd;guitar_stems/Evanescence_-_Imaginary_(Remastered_2023)_-_Official_Visualizer.wav;64.0;E major
0gEyKnHvgkrkBM6fbeHdwK;Linger;The Cranberries;Everybody Else Is Doing It, So Why Can't We?;1993-03-01;274706;83;False;https://open.spotify.com/track/0gEyKnHvgkrkBM6fbeHdwK;guitar_stems/The_Cranberries_-_Linger_(Official_Music_Video).wav;64.0;D major
4kmGRW1BgoKendL6V7cz29;Before It's Too Late;The Goo Goo Dolls;Greatest Hits Volume One - The Singles;2007-11-06;187760;47;False;https://open.spotify.com/track/4kmGRW1BgoKendL6V7cz29;guitar_stems/Goo_Goo_Dolls_-_Before_It's_Too_Late_(Sam_and_Mikaela's_Theme)_[Official_Music_Video].wav;65.0;C major
1fr92Vupmcs2vgLMFVQ7rd;In the Shadows;The Rasmus;Dead Letters;2003-03-24;257920;72;False;https://open.spotify.com/track/1fr92Vupmcs2vgLMFVQ7rd;guitar_stems/The_Rasmus_-_In_the_Shadows_(Official_Music_Video).wav;105.0;F# minor
3K4HG9evC7dg3N0R9cYqk4;One Step Closer;Linkin Park;Hybrid Theory (Bonus Edition);2000-10-24;157333;83;False;https://open.spotify.com/track/3K4HG9evC7dg3N0R9cYqk4;guitar_stems/One_Step_Closer_[Official_HD_Music_Video]_-_Linkin_Park.wav;95.0;G# minor
003vvx7Niy0yvhvHt4a68B;Mr. Brightside;The Killers;Hot Fuss;2004;222973;87;False;https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B;guitar_stems/The_Killers_-_Mr._Brightside_(Official_Music_Video).wav;73.0;Db major
76Je5Wklky23mVoxiRszcN;Walk;Foo Fighters;Wasting Light;2011-04-12;255960;67;False;https://open.spotify.com/track/76Je5Wklky23mVoxiRszcN;guitar_stems/Foo_Fighters._Walk..wav;68.0;A major
6ORqU0bHbVCRjXm9AjyHyZ;Good Riddance (Time of Your Life);Green Day;Nimrod;1997-10-14;153466;81;True;https://open.spotify.com/track/6ORqU0bHbVCRjXm9AjyHyZ;guitar_stems/Green_Day_-_Good_Riddance_(Time_of_Your_Life)_[Official_Music_Video]_[4K_UPGRADE].wav;96.0;E major
