id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key
7iKvKzdvyPHsJbagTguJAj;Don't Stop Dancing;Creed;Weathered;2001-01-01;272866;0;False;https://open.spotify.com/track/7iKvKzdvyPHsJbagTguJAj;guitar_stems/Creed_-_Don't_Stop_Dancing.wav;69.0;G major
7BG8BwW3Bhdq4PnZmjDBRm;Selling The Drama;Live;Awake The Best Of Live;2004-01-01;205413;45;False;https://open.spotify.com/track/7BG8BwW3Bhdq4PnZmjDBRm;guitar_stems/Live_-_Selling_The_Drama.wav;62.0;Gb major
7kPuCwBWgXy5TGfgwNUKwV;Hole In My Soul;Aerosmith;Nine Lives;1997-03-18;370093;1;False;https://open.spotify.com/track/7kPuCwBWgXy5TGfgwNUKwV;guitar_stems/Aerosmith_-_Hole_In_My_Soul.wav;75.0;G major
1f2V8U1BiWaC9aJWmpOARe;By the Way;Red Hot Chili Peppers;By the Way (Deluxe Edition);2002-07-09;216933;75;False;https://open.spotify.com/track/1f2V8U1BiWaC9aJWmpOARe;guitar_stems/Red_Hot_Chili_Peppers_-_By_The_Way_[Official_Music_Video].wav;124.0;A minor
1OutzYv6YiN93lrT3pJsWR;It's My Life;No Doubt;It's My Life;2003-01-01;226053;58;False;https://open.spotify.com/track/1OutzYv6YiN93lrT3pJsWR;guitar_stems/Bon_Jovi_-_It's_My_Life_(Official_Music_Video).wav;61.0;C major
6mAfxuTuRz1FWfriiFf57y;Don't Cry;Guns N' Roses;Use Your Illusion II;1991-09-18;284266;54;False;https://open.spotify.com/track/6mAfxuTuRz1FWfriiFf57y;guitar_stems/Guns_N'_Roses_-_Don't_Cry.wav;125.0;B major
4wtHbIS26FOtpjMkaQQ8Zk;Kiss The Rain;Billie Myers;Growing, Pains;1997-01-01;270160;55;False;https://open.spotify.com/track/4wtHbIS26FOtpjMkaQQ8Zk;guitar_stems/Billie_Myers_-_Kiss_The_Rain_(Official_Video).wav;90.0;A major
1zng9uqqXoPkmU05nsAlsw;Bed Of Roses;Bon Jovi;Keep The Faith;1992-11-03;394400;75;False;https://open.spotify.com/track/1zng9uqqXoPkmU05nsAlsw;guitar_stems/Bon_Jovi_-_Bed_Of_Roses_(Official_Music_Video).wav;82.0;F major
0tWEB6BxbI48XN79QE1JbT;Everybody's Fool;Evanescence;Fallen;2003-03-04;195880;69;False;https://open.spotify.com/track/0tWEB6BxbI48XN79QE1JbT;;;
5x9RZg7HfXGY3JayXL3seF;Cats In The Cradle;Ugly Kid Joe;America's Least Wanted;1992-01-01;241893;63;False;https://open.spotify.com/track/5x9RZg7HfXGY3JayXL3seF;guitar_stems/Ugly_Kid_Joe_-_Cats_In_The_Cradle_(Official_Music_Video).wav;76.0;Ab major
6Wx88Mv6b9ofjKMKkdwOJd;New Divide;Linkin Park;Transformers: Revenge Of The Fallen The Album;2009-06-12;268613;70;False;https://open.spotify.com/track/6Wx88Mv6b9ofjKMKkdwOJd;guitar_stems/New_Divide_(Official_Music_Video)_[4K_Upgrade]_-_Linkin_Park.wav;59.0;F minor
